,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
218,52.8,30.746,84.4,5.38802,295.9296309706849,-1.0,-1.0,-1.0,0.0,0.0
219,39.22,19.079,125.2,5.9124,318.54287469509563,-1.0,-1.0,-1.0,0.0,0.0
220,50.7,42.253,173.7,5.87025,66.60982625713714,-1.0,-1.0,-1.0,0.0,0.0
221,50.7,26.633,132.5,4.79222,46.18056839559744,-1.0,-1.0,-1.0,0.0,0.0
222,16.51,27.495,70.9,5.85144,88.7186486385337,-1.0,-1.0,-1.0,0.0,0.0
223,59.64,8.083,128.2,4.95636,123.2303645946384,-1.0,-1.0,-1.0,0.0,0.0
224,59.64,11.135,111.0,5.873,121.13782503347227,-1.0,-1.0,-1.0,0.0,0.0
225,55.5,4.163,76.1,5.36167,119.29885997495866,-1.0,-1.0,-1.0,0.0,0.0
226,34.75,10.583,160.9,5.86133,425.2719790505505,-1.0,-1.0,-1.0,0.0,0.0
227,56.22,10.263,73.0,5.8418,596.4357835551265,-1.0,-1.0,-1.0,0.0,0.0
228,55.86,36.019,156.4,4.85548,582.9530644686483,-1.0,-1.0,-1.0,0.0,0.0
229,50.03,6.429,81.1,5.86063,397.53863536920045,-1.0,-1.0,-1.0,0.0,0.0
230,56.76,29.597,144.2,5.02092,384.1427478088101,-1.0,-1.0,-1.0,0.0,0.0
231,33.14,23.861,37.2,5.24346,247.3073506064642,-1.0,-1.0,-1.0,0.0,0.0
232,16.43,8.327,136.1,5.86927,230.33934566549115,-1.0,-1.0,-1.0,0.0,0.0
233,30.86,7.024,4.7,5.73108,62.78318381130776,-1.0,-1.0,-1.0,0.0,0.0
234,57.99,14.468,26.0,5.83787,108.21429761853626,-1.0,-1.0,-1.0,0.0,0.0
235,36.4,3.464,90.0,5.91112,115.63513529237035,-1.0,-1.0,-1.0,0.0,0.0
236,54.71,3.464,90.0,5.58775,346.802902580639,-1.0,-1.0,-1.0,0.0,0.0
